alert_id,tx_id,dept_id,alert_type,confidence_score,description,timestamp
1,15,1,Phantom Utilization,0.84,Transaction SAN000015 marked paid but no utilization recorded within 30 days.,2022-07-23 00:00:00
2,28,1,Phantom Utilization,0.94,Transaction SAN000028 marked paid but no utilization recorded within 30 days.,2022-05-29 00:00:00
3,30,1,Phantom Utilization,0.91,Transaction SAN000030 marked paid but no utilization recorded within 30 days.,2022-11-15 00:00:00
4,39,1,Phantom Utilization,0.94,Transaction SAN000039 marked paid but no utilization recorded within 30 days.,2023-01-03 00:00:00
5,45,1,Phantom Utilization,0.96,Transaction SAN000045 marked paid but no utilization recorded within 30 days.,2023-01-31 00:00:00
6,59,1,Phantom Utilization,0.87,Transaction SAN000059 marked paid but no utilization recorded within 30 days.,2023-11-14 00:00:00
7,78,1,Phantom Utilization,0.88,Transaction SAN000078 marked paid but no utilization recorded within 30 days.,2023-11-27 00:00:00
8,86,1,Phantom Utilization,0.87,Transaction SAN000086 marked paid but no utilization recorded within 30 days.,2025-01-15 00:00:00
9,97,1,Phantom Utilization,0.88,Transaction SAN000097 marked paid but no utilization recorded within 30 days.,2024-09-28 00:00:00
10,101,1,Phantom Utilization,0.89,Transaction SAN000101 marked paid but no utilization recorded within 30 days.,2024-09-19 00:00:00
11,104,1,Phantom Utilization,0.9,Transaction SAN000104 marked paid but no utilization recorded within 30 days.,2024-09-17 00:00:00
12,111,1,Phantom Utilization,0.86,Transaction SAN000111 marked paid but no utilization recorded within 30 days.,2024-08-07 00:00:00
13,119,1,Phantom Utilization,0.91,Transaction SAN000119 marked paid but no utilization recorded within 30 days.,2024-12-12 00:00:00
14,121,1,Phantom Utilization,0.88,Transaction SAN000121 marked paid but no utilization recorded within 30 days.,2025-01-11 00:00:00
15,124,1,Phantom Utilization,0.87,Transaction SAN000124 marked paid but no utilization recorded within 30 days.,2025-01-30 00:00:00
16,135,1,Phantom Utilization,0.92,Transaction SAN000135 marked paid but no utilization recorded within 30 days.,2024-09-02 00:00:00
17,170,1,Phantom Utilization,0.95,Transaction SAN000170 marked paid but no utilization recorded within 30 days.,2023-01-24 00:00:00
18,194,1,Phantom Utilization,0.88,Transaction SAN000194 marked paid but no utilization recorded within 30 days.,2022-12-18 00:00:00
19,202,1,Phantom Utilization,0.92,Transaction SAN000202 marked paid but no utilization recorded within 30 days.,2022-12-10 00:00:00
20,206,1,Phantom Utilization,0.95,Transaction SAN000206 marked paid but no utilization recorded within 30 days.,2022-11-15 00:00:00
21,227,1,Phantom Utilization,0.96,Transaction SAN000227 marked paid but no utilization recorded within 30 days.,2023-12-22 00:00:00
22,243,1,Phantom Utilization,0.89,Transaction SAN000243 marked paid but no utilization recorded within 30 days.,2023-08-07 00:00:00
23,251,1,Phantom Utilization,0.88,Transaction SAN000251 marked paid but no utilization recorded within 30 days.,2024-01-09 00:00:00
24,264,1,Phantom Utilization,0.96,Transaction SAN000264 marked paid but no utilization recorded within 30 days.,2024-12-13 00:00:00
25,275,1,Phantom Utilization,0.94,Transaction SAN000275 marked paid but no utilization recorded within 30 days.,2025-02-03 00:00:00
26,280,1,Phantom Utilization,0.86,Transaction SAN000280 marked paid but no utilization recorded within 30 days.,2024-03-28 00:00:00
27,295,1,Phantom Utilization,0.87,Transaction SAN000295 marked paid but no utilization recorded within 30 days.,2024-07-10 00:00:00
28,307,1,Phantom Utilization,0.94,Transaction SAN000307 marked paid but no utilization recorded within 30 days.,2024-02-15 00:00:00
29,311,1,Phantom Utilization,0.94,Transaction SAN000311 marked paid but no utilization recorded within 30 days.,2024-06-13 00:00:00
30,321,1,Phantom Utilization,0.86,Transaction SAN000321 marked paid but no utilization recorded within 30 days.,2022-07-02 00:00:00
31,327,1,Phantom Utilization,0.87,Transaction SAN000327 marked paid but no utilization recorded within 30 days.,2022-07-24 00:00:00
32,336,1,Phantom Utilization,0.93,Transaction SAN000336 marked paid but no utilization recorded within 30 days.,2022-12-22 00:00:00
