id,scheme_id,district,fiscal_year,quarter,planned_amount_lakhs,actual_disbursed_lakhs,planned_beneficiaries,actual_beneficiaries,disbursement_date,mode
1,1,Ahmednagar,2024-25,1,502.998,126.67,12500,3147,2024-03-20,DBT-Bank
2,1,Ahmednagar,2024-25,2,502.998,135.61,12500,3370,2024-06-13,DBT-Bank
3,1,Ahmednagar,2024-25,3,502.998,134.04,12500,3331,2024-09-19,DBT-Bank
4,1,Ahmednagar,2024-25,4,502.998,126.02,12500,3131,2024-12-23,DBT-Bank
5,1,Akola,2024-25,1,547.3862,139.15,12500,3177,2024-03-27,DBT-Bank
6,1,Akola,2024-25,2,547.3862,126.41,12500,2886,2024-06-23,DBT-Bank
7,1,Akola,2024-25,3,547.3862,143.62,12500,3279,2024-09-22,DBT-Bank
8,1,Akola,2024-25,4,547.3862,144.13,12500,3291,2024-12-15,DBT-Bank
9,1,Amravati,2024-25,1,597.513,134.84,12500,2820,2024-03-27,DBT-Bank
10,1,Amravati,2024-25,2,597.513,170.91,12500,3575,2024-06-19,DBT-Bank
11,1,Amravati,2024-25,3,597.513,139.83,12500,2925,2024-09-23,DBT-Bank
12,1,Amravati,2024-25,4,597.513,162.18,12500,3392,2024-12-20,DBT-Bank
13,1,Aurangabad,2024-25,1,571.4342,134.76,12500,2947,2024-03-16,DBT-Bank
14,1,Aurangabad,2024-25,2,571.4342,149.07,12500,3260,2024-06-15,DBT-Bank
15,1,Aurangabad,2024-25,3,571.4342,149.67,12500,3273,2024-09-19,DBT-Bank
16,1,Aurangabad,2024-25,4,571.4342,143.52,12500,3139,2024-12-20,DBT-Bank
17,1,Beed,2024-25,1,507.0543,138.19,12500,3406,2024-03-17,DBT-Bank
18,1,Beed,2024-25,2,507.0543,138.67,12500,3418,2024-06-17,DBT-Bank
19,1,Beed,2024-25,3,507.0543,138.42,12500,3412,2024-09-14,DBT-Bank
20,1,Beed,2024-25,4,507.0543,108.68,12500,2679,2024-12-17,DBT-Bank
21,1,Bhandara,2024-25,1,661.3419,164.02,12500,3100,2024-03-12,DBT-Bank
22,1,Bhandara,2024-25,2,661.3419,169.65,12500,3206,2024-06-28,DBT-Bank
23,1,Bhandara,2024-25,3,661.3419,150.18,12500,2838,2024-09-22,DBT-Bank
24,1,Bhandara,2024-25,4,661.3419,165.06,12500,3119,2024-12-17,DBT-Bank
25,1,Buldhana,2024-25,1,516.4417,130.92,12500,3168,2024-03-13,DBT-Bank
26,1,Buldhana,2024-25,2,516.4417,145.49,12500,3521,2024-06-17,DBT-Bank
27,1,Buldhana,2024-25,3,516.4417,116.56,12500,2821,2024-09-26,DBT-Bank
28,1,Buldhana,2024-25,4,516.4417,127.74,12500,3091,2024-12-27,DBT-Bank
29,1,Chandrapur,2024-25,1,534.0486,141.57,12500,3313,2024-03-24,DBT-Bank
30,1,Chandrapur,2024-25,2,534.0486,123.58,12500,2892,2024-06-24,DBT-Bank
31,1,Chandrapur,2024-25,3,534.0486,140.22,12500,3282,2024-09-27,DBT-Bank
32,1,Chandrapur,2024-25,4,534.0486,137.34,12500,3214,2024-12-24,DBT-Bank
33,1,Dhule,2024-25,1,597.017,152.71,12500,3197,2024-03-26,DBT-Bank
34,1,Dhule,2024-25,2,597.017,151.81,12500,3178,2024-06-27,DBT-Bank
35,1,Dhule,2024-25,3,597.017,146.83,12500,3074,2024-09-15,DBT-Bank
