id,sanction_id,ddo_code,vendor_id,amount,purpose_category,release_date,utilization_date,status
1,SAN000001,DDO0001,63,2118000,Welfare,2022-12-31,2023-01-15,utilized
2,SAN000002,DDO0001,211,2004000,Subsidies,2022-12-10,2022-12-19,utilized
3,SAN000003,DDO0001,286,1636000,Equipment,2022-08-10,2022-09-09,utilized
4,SAN000004,DDO0001,287,173000,Maintenance,2022-10-19,2022-11-12,utilized
5,SAN000005,DDO0001,63,1754000,Subsidies,2022-07-10,2022-08-06,utilized
6,SAN000006,DDO0001,177,361000,Construction,2022-11-17,2022-11-29,utilized
7,SAN000007,DDO0001,287,409000,Procurement,2022-11-22,2022-12-02,utilized
8,SAN000008,DDO0001,185,2092000,Procurement,2022-02-16,2022-02-26,utilized
9,SAN000009,DDO0001,177,652000,Training,2022-06-05,2022-07-07,utilized
10,SAN000010,DDO0001,286,44000,Equipment,2022-10-05,2022-10-29,utilized
11,SAN000011,DDO0001,211,2099000,Subsidies,2022-12-15,2022-12-27,utilized
12,SAN000012,DDO0001,63,1804000,Operations,2022-12-23,2023-01-23,utilized
13,SAN000013,DDO0001,132,1590000,Procurement,2022-10-21,2022-11-22,utilized
14,SAN000014,DDO0001,415,40000,Services,2022-07-14,2022-08-09,utilized
15,SAN000015,DDO0001,11,2312000,Construction,2022-06-18,,paid
16,SAN000016,DDO0001,478,1061000,Equipment,2022-11-26,2022-12-12,utilized
17,SAN000017,DDO0001,478,712000,Infrastructure,2022-08-18,2022-09-15,utilized
18,SAN000018,DDO0001,478,2110000,Operations,2022-05-03,2022-05-24,utilized
19,SAN000019,DDO0001,415,850000,Procurement,2022-06-24,2022-07-09,utilized
20,SAN000020,DDO0001,63,1049000,Operations,2022-04-04,2022-05-09,utilized
21,SAN000021,DDO0001,211,60000,Procurement,2022-05-01,2022-05-23,utilized
22,SAN000022,DDO0001,185,399000,Construction,2022-06-23,2022-07-28,utilized
23,SAN000023,DDO0001,11,1092000,Construction,2022-05-14,2022-06-08,utilized
24,SAN000024,DDO0001,185,1128000,Procurement,2022-03-25,2022-05-02,utilized
25,SAN000025,DDO0001,415,2213000,Construction,2022-09-07,2022-09-18,utilized
26,SAN000026,DDO0001,11,969000,Construction,2022-12-23,2023-01-08,utilized
27,SAN000027,DDO0001,478,1325000,Training,2022-09-25,2022-10-19,utilized
28,SAN000028,DDO0001,211,908000,Subsidies,2022-04-24,,paid
29,SAN000029,DDO0001,185,3173000,Procurement,2022-11-07,2022-11-26,utilized
30,SAN000030,DDO0001,415,1010000,Maintenance,2022-10-11,,paid
31,SAN000031,DDO0001,11,2428000,Equipment,2022-01-02,2022-01-11,utilized
32,SAN000032,DDO0001,63,1566000,Construction,2022-06-16,2022-06-23,utilized
33,SAN000033,DDO0001,287,468000,Equipment,2022-07-05,2022-08-13,utilized
34,SAN000034,DDO0001,11,1469000,Infrastructure,2022-11-25,2022-12-21,utilized
35,SAN000035,DDO0001,11,2027000,Training,2022-11-09,2022-12-17,utilized
36,SAN000036,DDO0001,211,907000,Subsidies,2022-11-07,2022-11-28,utilized
37,SAN000037,DDO0001,211,285000,Services,2022-12-20,2023-01-21,utilized
38,SAN000038,DDO0001,11,125000,Welfare,2022-07-09,2022-08-06,utilized
39,SAN000039,DDO0001,132,2706000,Equipment,2022-11-29,,paid
40,SAN000040,DDO0001,177,684000,Subsidies,2022-11-22,2022-12-31,utilized
41,SAN000041,DDO0001,132,202000,Procurement,2022-04-10,2022-04-16,utilized
42,SAN000042,DDO0001,185,362000,Maintenance,2022-12-05,2022-12-15,utilized
43,SAN000043,DDO0001,11,1847000,Operations,2022-01-21,2022-02-10,utilized
44,SAN000044,DDO0001,287,142000,Maintenance,2022-02-08,2022-03-15,utilized
45,SAN000045,DDO0001,185,1217000,Infrastructure,2022-12-27,,paid
46,SAN000046,DDO0001,63,884000,Procurement,2022-12-26,2023-01-18,utilized
47,SAN000047,DDO0001,287,479000,Welfare,2022-03-07,2022-04-04,utilized
48,SAN000048,DDO0001,286,2203000,Infrastructure,2023-05-22,2023-06-01,utilized
49,SAN000049,DDO0001,11,2603000,Procurement,2023-11-19,2023-12-03,utilized
50,SAN000050,DDO0001,132,1263000,Operations,2023-11-18,2023-12-20,utilized
51,SAN000051,DDO0001,132,2265000,Infrastructure,2023-12-29,2024-01-22,utilized
52,SAN000052,DDO0001,177,2513000,Training,2023-10-19,2023-11-15,utilized
53,SAN000053,DDO0001,185,1052000,Training,2023-12-15,2023-12-20,utilized
54,SAN000054,DDO0001,415,509000,Equipment,2023-09-29,2023-10-04,utilized
55,SAN000055,DDO0001,211,1720000,Operations,2023-11-23,2023-12-06,utilized
56,SAN000056,DDO0001,286,723000,Operations,2023-03-15,2023-04-03,utilized
